"MTU (UTC)","Area","Sequence","Day-ahead Price (GBP/MWh)","Intraday Period (UTC)","Intraday Price (GBP/MWh)"
"06/01/2015 01:00:00 - 06/01/2015 02:00:00","BZN|GB","Without Sequence","35.49","",""
"06/01/2015 02:00:00 - 06/01/2015 03:00:00","BZN|GB","Without Sequence","32.91","",""
"06/01/2015 03:00:00 - 06/01/2015 04:00:00","BZN|GB","Without Sequence","30.12","",""
"06/01/2015 04:00:00 - 06/01/2015 05:00:00","BZN|GB","Without Sequence","29.78","",""
"06/01/2015 05:00:00 - 06/01/2015 06:00:00","BZN|GB","Without Sequence","33.47","",""
"06/01/2015 06:00:00 - 06/01/2015 07:00:00","BZN|GB","Without Sequence","38.96","",""
"06/01/2015 07:00:00 - 06/01/2015 08:00:00","BZN|GB","Without Sequence","37.78","",""
"06/01/2015 08:00:00 - 06/01/2015 09:00:00","BZN|GB","Without Sequence","38.81","",""
"06/01/2015 09:00:00 - 06/01/2015 10:00:00","BZN|GB","Without Sequence","40.95","",""
"06/01/2015 10:00:00 - 06/01/2015 11:00:00","BZN|GB","Without Sequence","43.94","",""
"06/01/2015 11:00:00 - 06/01/2015 12:00:00","BZN|GB","Without Sequence","42.34","",""
"06/01/2015 12:00:00 - 06/01/2015 13:00:00","BZN|GB","Without Sequence","45.58","",""
"06/01/2015 13:00:00 - 06/01/2015 14:00:00","BZN|GB","Without Sequence","44.57","",""
"06/01/2015 14:00:00 - 06/01/2015 15:00:00","BZN|GB","Without Sequence","36.59","",""
"06/01/2015 15:00:00 - 06/01/2015 16:00:00","BZN|GB","Without Sequence","36.53","",""
"06/01/2015 16:00:00 - 06/01/2015 17:00:00","BZN|GB","Without Sequence","51.20","",""
"06/01/2015 17:00:00 - 06/01/2015 18:00:00","BZN|GB","Without Sequence","75.92","",""
"06/01/2015 18:00:00 - 06/01/2015 19:00:00","BZN|GB","Without Sequence","56.69","",""
"06/01/2015 19:00:00 - 06/01/2015 20:00:00","BZN|GB","Without Sequence","43.47","",""
"06/01/2015 20:00:00 - 06/01/2015 21:00:00","BZN|GB","Without Sequence","42.09","",""
"06/01/2015 21:00:00 - 06/01/2015 22:00:00","BZN|GB","Without Sequence","40.27","",""
"06/01/2015 22:00:00 - 06/01/2015 23:00:00","BZN|GB","Without Sequence","36.10","",""
"06/01/2015 23:00:00 - 07/01/2015 00:00:00","BZN|GB","Without Sequence","36.58","",""
"07/01/2015 00:00:00 - 07/01/2015 01:00:00","BZN|GB","Without Sequence","36.60","",""
"07/01/2015 01:00:00 - 07/01/2015 02:00:00","BZN|GB","Without Sequence","36.09","",""
"07/01/2015 02:00:00 - 07/01/2015 03:00:00","BZN|GB","Without Sequence","31.26","",""
"07/01/2015 03:00:00 - 07/01/2015 04:00:00","BZN|GB","Without Sequence","22.57","",""
"07/01/2015 04:00:00 - 07/01/2015 05:00:00","BZN|GB","Without Sequence","26.75","",""
"07/01/2015 05:00:00 - 07/01/2015 06:00:00","BZN|GB","Without Sequence","31.95","",""
"07/01/2015 06:00:00 - 07/01/2015 07:00:00","BZN|GB","Without Sequence","37.64","",""
