"MTU (UTC)","Area","Sequence","Day-ahead Price (GBP/MWh)","Intraday Period (UTC)","Intraday Price (GBP/MWh)"
"07/01/2018 14:00:00 - 07/01/2018 15:00:00","BZN|GB","Without Sequence","54.42","",""
"07/01/2018 15:00:00 - 07/01/2018 16:00:00","BZN|GB","Without Sequence","48.84","",""
"07/01/2018 16:00:00 - 07/01/2018 17:00:00","BZN|GB","Without Sequence","61.10","",""
"07/01/2018 17:00:00 - 07/01/2018 18:00:00","BZN|GB","Without Sequence","91.66","",""
"07/01/2018 18:00:00 - 07/01/2018 19:00:00","BZN|GB","Without Sequence","66.82","",""
"07/01/2018 19:00:00 - 07/01/2018 20:00:00","BZN|GB","Without Sequence","58.93","",""
"07/01/2018 20:00:00 - 07/01/2018 21:00:00","BZN|GB","Without Sequence","53.05","",""
"07/01/2018 21:00:00 - 07/01/2018 22:00:00","BZN|GB","Without Sequence","48.94","",""
"07/01/2018 22:00:00 - 07/01/2018 23:00:00","BZN|GB","Without Sequence","41.92","",""
"07/01/2018 23:00:00 - 08/01/2018 00:00:00","BZN|GB","Without Sequence","42.81","",""
"08/01/2018 00:00:00 - 08/01/2018 01:00:00","BZN|GB","Without Sequence","42.34","",""
"08/01/2018 01:00:00 - 08/01/2018 02:00:00","BZN|GB","Without Sequence","42.50","",""
"08/01/2018 02:00:00 - 08/01/2018 03:00:00","BZN|GB","Without Sequence","42.05","",""
"08/01/2018 03:00:00 - 08/01/2018 04:00:00","BZN|GB","Without Sequence","42.01","",""
"08/01/2018 04:00:00 - 08/01/2018 05:00:00","BZN|GB","Without Sequence","41.42","",""
"08/01/2018 05:00:00 - 08/01/2018 06:00:00","BZN|GB","Without Sequence","42.11","",""
"08/01/2018 06:00:00 - 08/01/2018 07:00:00","BZN|GB","Without Sequence","48.59","",""
"08/01/2018 07:00:00 - 08/01/2018 08:00:00","BZN|GB","Without Sequence","46.56","",""
"08/01/2018 08:00:00 - 08/01/2018 09:00:00","BZN|GB","Without Sequence","55.44","",""
"08/01/2018 09:00:00 - 08/01/2018 10:00:00","BZN|GB","Without Sequence","59.00","",""
"08/01/2018 10:00:00 - 08/01/2018 11:00:00","BZN|GB","Without Sequence","55.10","",""
"08/01/2018 11:00:00 - 08/01/2018 12:00:00","BZN|GB","Without Sequence","54.14","",""
"08/01/2018 12:00:00 - 08/01/2018 13:00:00","BZN|GB","Without Sequence","55.00","",""
"08/01/2018 13:00:00 - 08/01/2018 14:00:00","BZN|GB","Without Sequence","55.00","",""
"08/01/2018 14:00:00 - 08/01/2018 15:00:00","BZN|GB","Without Sequence","52.66","",""
"08/01/2018 15:00:00 - 08/01/2018 16:00:00","BZN|GB","Without Sequence","46.82","",""
"08/01/2018 16:00:00 - 08/01/2018 17:00:00","BZN|GB","Without Sequence","59.18","",""
"08/01/2018 17:00:00 - 08/01/2018 18:00:00","BZN|GB","Without Sequence","75.72","",""
"08/01/2018 18:00:00 - 08/01/2018 19:00:00","BZN|GB","Without Sequence","63.92","",""
"08/01/2018 19:00:00 - 08/01/2018 20:00:00","BZN|GB","Without Sequence","60.00","",""
"08/01/2018 20:00:00 - 08/01/2018 21:00:00","BZN|GB","Without Sequence","46.55","",""
"08/01/2018 21:00:00 - 08/01/2018 22:00:00","BZN|GB","Without Sequence","53.06","",""
"08/01/2018 22:00:00 - 08/01/2018 23:00:00","BZN|GB","Without Sequence","42.39","",""
"08/01/2018 23:00:00 - 09/01/2018 00:00:00","BZN|GB","Without Sequence","43.52","",""
"09/01/2018 00:00:00 - 09/01/2018 01:00:00","BZN|GB","Without Sequence","44.15","",""
"09/01/2018 01:00:00 - 09/01/2018 02:00:00","BZN|GB","Without Sequence","44.82","",""
"09/01/2018 02:00:00 - 09/01/2018 03:00:00","BZN|GB","Without Sequence","43.06","",""
"09/01/2018 03:00:00 - 09/01/2018 04:00:00","BZN|GB","Without Sequence","43.00","",""
"09/01/2018 04:00:00 - 09/01/2018 05:00:00","BZN|GB","Without Sequence","43.03","",""
"09/01/2018 05:00:00 - 09/01/2018 06:00:00","BZN|GB","Without Sequence","44.30","",""
"09/01/2018 06:00:00 - 09/01/2018 07:00:00","BZN|GB","Without Sequence","55.00","",""
"09/01/2018 07:00:00 - 09/01/2018 08:00:00","BZN|GB","Without Sequence","53.52","",""
"09/01/2018 08:00:00 - 09/01/2018 09:00:00","BZN|GB","Without Sequence","53.44","",""
"09/01/2018 09:00:00 - 09/01/2018 10:00:00","BZN|GB","Without Sequence","54.99","",""
"09/01/2018 10:00:00 - 09/01/2018 11:00:00","BZN|GB","Without Sequence","55.66","",""
